date,TOTAL_MWh,NG_MWh
2020-02-11,1043368.0,558909.0
2020-02-12,1023110.0,576103.0
2020-02-13,1053253.0,589180.0
2020-02-14,1064407.0,543266.0
2020-02-15,935532.0,398130.0
2020-02-16,836045.0,377140.0
2020-02-17,884732.0,345613.0
2020-02-18,914530.0,347625.0
2020-02-19,972696.0,559287.0
2020-02-20,1053175.0,447478.0
2020-02-21,1060131.0,598439.0
2020-02-22,944199.0,367465.0
2020-02-23,880650.0,244400.0
2020-02-24,880081.0,349185.0
2020-02-25,927894.0,333924.0
2020-02-26,1031935.0,466090.0
2020-02-27,1047140.0,539538.0
2020-02-28,945703.0,535022.0
2020-02-29,860488.0,241483.0
2020-03-01,822832.0,254279.0
2020-03-02,876587.0,400011.0
2020-03-03,896852.0,431350.0
2020-03-04,906681.0,363206.0
2020-03-05,889704.0,359579.0
2020-03-06,878002.0,388093.0
2020-03-07,866369.0,239364.0
2020-03-08,817805.0,180414.0
2020-03-09,868431.0,362983.0
2020-03-10,899828.0,444093.0
2020-03-11,933239.0,461533.0
2020-03-12,950081.0,452825.0
2020-03-13,927205.0,428854.0
2020-03-14,896352.0,480479.0
2020-03-15,876387.0,440679.0
2020-03-16,888795.0,492064.0
2020-03-17,928992.0,449787.0
2020-03-18,950808.0,62686.0
2020-03-19,984928.0,367912.0
2020-03-20,917056.0,374389.0
2020-03-21,865515.0,483964.0
2020-03-22,838347.0,457614.0
2020-03-23,905492.0,430832.0
2020-03-24,953923.0,456986.0
2020-03-25,975002.0,448237.0
2020-03-26,1009629.0,409179.0
2020-03-27,1013834.0,467831.0
2020-03-28,910353.0,328786.0
2020-03-29,817681.0,407963.0
2020-03-30,889432.0,374843.0
2020-03-31,877702.0,439392.0
2020-04-01,852725.0,258951.0
2020-04-02,867251.0,297599.0
2020-04-03,899070.0,329244.0
2020-04-04,877390.0,442060.0
2020-04-05,817005.0,393701.0
2020-04-06,854412.0,360147.0
2020-04-07,962567.0,452940.0
2020-04-08,1030974.0,527125.0
2020-04-09,962605.0,512168.0
2020-04-10,849662.0,351902.0
2020-04-11,828229.0,263779.0
2020-04-12,904612.0,240099.0
2020-04-13,831371.0,325711.0
2020-04-14,841382.0,390954.0
2020-04-15,837917.0,359182.0
2020-04-16,838649.0,237108.0
2020-04-17,857539.0,370557.0
2020-04-18,825240.0,378909.0
2020-04-19,854613.0,339530.0
2020-04-20,892050.0,470920.0
2020-04-21,941050.0,424486.0
2020-04-22,956407.0,328351.0
2020-04-23,954713.0,466184.0
2020-04-24,968386.0,360132.0
2020-04-25,844718.0,362293.0
2020-04-26,853468.0,235047.0
2020-04-27,933137.0,301140.0
2020-04-28,1024971.0,383996.0
2020-04-29,921024.0,373877.0
2020-04-30,900705.0,404535.0
2020-05-01,942362.0,289934.0
2020-05-02,986500.0,347571.0
2020-05-03,1022997.0,471048.0
2020-05-04,1112336.0,484804.0
2020-05-05,1043218.0,454310.0
2020-05-06,940417.0,470580.0
2020-05-07,965800.0,289304.0
2020-05-08,977881.0,329719.0
2020-05-09,810448.0,362334.0
2020-05-10,827247.0,356418.0
2020-05-11,928870.0,324282.0
2020-05-12,942348.0,429724.0
2020-05-13,1003870.0,361407.0
2020-05-14,1081823.0,471064.0
2020-05-15,1049218.0,448175.0
2020-05-16,866585.0,467386.0
2020-05-17,915834.0,525718.0
2020-05-18,1070397.0,524841.0
2020-05-19,1160105.0,557822.0
2020-05-20,1132149.0,523563.0
2020-05-21,1122202.0,496067.0
2020-05-22,1177705.0,531579.0
2020-05-23,1127004.0,397313.0
2020-05-24,1027212.0,358609.0
2020-05-25,895888.0,400473.0
2020-05-26,951484.0,497472.0
2020-05-27,990829.0,500497.0
2020-05-28,1015233.0,510687.0
2020-05-29,1033205.0,567293.0
2020-05-30,994774.0,485187.0
2020-05-31,963521.0,473926.0
2020-06-01,1018505.0,528981.0
2020-06-02,1107009.0,572098.0
2020-06-03,1155050.0,619387.0
2020-06-04,1218367.0,616642.0
2020-06-05,1234830.0,635384.0
2020-06-06,1218721.0,606443.0
2020-06-07,1206889.0,618399.0
2020-06-08,1283132.0,659260.0
2020-06-09,1316125.0,601043.0
2020-06-10,1107667.0,590619.0
2020-06-11,1114513.0,478377.0
2020-06-12,1106753.0,505963.0
2020-06-13,1097997.0,468542.0
2020-06-14,1108058.0,492940.0
2020-06-15,1217703.0,579780.0
2020-06-16,1229300.0,559923.0
2020-06-17,1223266.0,496211.0
2020-06-18,1223106.0,533959.0
2020-06-19,1208708.0,503450.0
2020-06-20,1119833.0,525961.0
2020-06-21,1119397.0,443793.0
2020-06-22,1168712.0,505916.0
2020-06-23,1106746.0,564274.0
2020-06-24,1123758.0,620624.0
2020-06-25,1150875.0,585597.0
2020-06-26,1143236.0,494547.0
2020-06-27,1182088.0,461907.0
2020-06-28,1170085.0,442518.0
2020-06-29,1275777.0,495032.0
2020-06-30,1304352.0,564044.0
2020-07-01,1325087.0,664823.0
2020-07-02,1318978.0,700498.0
2020-07-03,1266770.0,725662.0
2020-07-04,1232207.0,708000.0
2020-07-05,1226810.0,699079.0
2020-07-06,1246152.0,735995.0
2020-07-07,1250492.0,715444.0
2020-07-08,1318045.0,667478.0
